%
freq per preWhitenedPer modelledPsd
4117.18750 -105.17669 -99.97814 -92.94509 
4125.00000 -94.39144 -89.17650 -92.96149 
4132.81250 -89.90583 -84.67457 -92.97781 
4140.62500 -89.35684 -84.10935 -92.99404 
4148.43750 -92.52861 -87.26498 -93.01018 
4156.25000 -108.01718 -102.73750 -93.02623 
4164.06250 -93.92214 -88.62649 -93.04219 
4171.87500 -88.15640 -82.84487 -93.05807 
4179.68750 -86.52515 -81.19783 -93.07387 
4187.50000 -87.67087 -82.32784 -93.08957 
4195.31250 -92.52818 -87.16953 -93.10519 
4203.12500 -98.44951 -93.07533 -93.12073 
4210.93750 -89.54760 -84.15797 -93.13618 
4218.75000 -85.75722 -80.35223 -93.15154 
4226.56250 -84.70906 -79.28878 -93.16682 
4234.37500 -85.67484 -80.23937 -93.18202 
4242.18750 -88.81247 -83.36189 -93.19713 
4250.00000 -95.57931 -90.11371 -93.21215 
4257.81250 -109.77024 -104.28969 -93.22709 
4265.62500 -98.26921 -92.77381 -93.24195 
4273.43750 -96.59092 -91.08075 -93.25672 
4281.25000 -97.83293 -92.30807 -93.27141 
4289.06250 -97.31194 -91.77247 -93.28602 
4296.87500 -94.97721 -89.42321 -93.30054 
4304.68750 -94.21337 -88.64494 -93.31498 
4312.50000 -95.55953 -89.97674 -93.32934 
4320.31250 -97.63315 -92.03609 -93.34361 
4328.12500 -96.21897 -90.60772 -93.35780 
4335.93750 -93.93121 -88.30584 -93.37191 
4343.75000 -93.58753 -87.94814 -93.38594 
4351.56250 -95.66557 -90.01223 -93.39988 
4359.37500 -99.88396 -94.21676 -93.41375 
